etapa,respondent_id,collector_id,date_created,date_modified,ip_address,consentimiento,genero,edad,instruccion,pais,ciudad,trabajo,t_cria,afiliacion,t_afiliacion,experiencia,cria_cardenal,cosecha,conocimiento_1,conocimiento_2,conocimiento_3,conocimiento_4,conocimiento_5,conocimiento_6,conocimiento_7,conocimiento_8,conocimiento_9,conocimiento_10,intencion_tenencia1,intencion_tenencia2,intencion_participacion1,intencion_participacion2,act_reconocimiento,act_colaboracion1,act_colaboracion2,act_impostor1,act_impostor2,norm_reconocimiento1,norm_reconocimiento2,norm_colaboracion1,norm_colaboracion2,norm_impostor1,norm_impostor2,moral1,moral2,control_reconocimiento,control_colaboracion,control_impostor,red_comunicacion1,red_comunicacion2,Persona 4_relacion,Persona 4_tiempo,Persona 4_frecuencia,Persona 4_edad,Persona 4_pais,Persona 4_experiencia,Persona 3_relacion,Persona 3_tiempo,Persona 3_frecuencia,Persona 3_edad,Persona 3_pais,Persona 3_experiencia,Persona 2_relacion,Persona 2_tiempo,Persona 2_frecuencia,Persona 2_edad,Persona 2_pais,Persona 2_experiencia,Persona 1_relacion,Persona 1_tiempo,Persona 1_frecuencia,Persona 1_edad,Persona 1_pais,Persona 1_experiencia,t_cria2,t_afiliacion2,instruccion2,trabajo2,genero2,cria_cardenal2,afiliacion2,cosecha2,pais2,red_comunicacion1b,respondent_id,age,country,expert,intention,moral,att,norms,conform,intention2,expert2,by
pre-piloto,13374081209,414689816,4/3/2022 10:48,4/3/2022 10:58,2.155.144.30,Acepto,Masculino,Adults,Primaria completa,España,Vigo,Empleado (a),5 – 10 anos,Miembro activo,Hace tiempo (más de 5 años),Expert,No,Más de 5 pichones,1,0,1,0,0,1,0,0,1,0,1,1,NA,4,1,5,5,4,NA,5,1,5,NA,NA,NA,NA,NA,5,NA,1,"No consulto a nadie, tomo mis propias decisiones cuando quiero manejar mi aviario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,more than 5 years,NA,Employed,Male,No,Active member,Más de 5 pichones,Spain,No_network,13374081209,Adults,Spain,Expert,4,0.5401403507081713,1.2686611383190822,-0.6983307929416344,-1.0793894782929114,1,1,respondent_id
pre-piloto,13369704516,414689816,2/3/2022 18:51,2/3/2022 19:01,190.120.250.222,Acepto,Masculino,Seniors,Universitaria,Venezuela,Carabobo,Otro,Más de 10 años,Miembro activo,Hace mucho (más de 10 años),Expert,No,2-5 pichones,0,1,0,0,0,0,1,0,1,0,4,4,5,5,4,1,4,NA,NA,2,4,4,NA,NA,NA,NA,NA,4,NA,NA,"Si, tengo mis consultores",1 persona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Partner_breeder,4,2,Seniors,Venezuela,Expert,more than 10 years,more than 10 years,University,Business,Male,No,Active member,NA,Venezuela,Yes_network,13369704516,Seniors,Venezuela,Expert,5,0.10514279017686863,-1.6853742243187597,-0.1343287110276904,0.12574762532314096,1,1,respondent_id
pre-piloto,13369089117,414689816,2/3/2022 14:33,2/3/2022 14:44,190.120.248.12,Acepto,Masculino,Seniors,Universitaria,Venezuela,Valencia,Jubilado (a),No crío Cardenalitos,Miembro inactivo,Hace mucho (más de 10 años),Expert,No,No crío Cardenalito,1,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I dont breed RS,more than 10 years,University,Retired,Male,No,Inactive member,No crío Cardenalito,Venezuela,NA,13369089117,Seniors,Venezuela,Expert,NA,0.10514279017686863,0.22358271235673532,0.24982347190609822,0.12574762532314096,NA,1,respondent_id
pre-piloto,13368093342,414689816,2/3/2022 7:57,2/3/2022 8:06,186.167.251.54,Acepto,Masculino,Adults,Universitaria,Venezuela,Nirgua,Empleado (a),No crío Cardenalitos,No afiliado,No estoy afiliado,No_breed,No,No crío Cardenalito,0,0,0,0,1,0,0,0,1,1,1,2,NA,5,1,3,4,3,3,2,NA,3,NA,3,NA,NA,NA,3,NA,4,"No consulto a nadie, tomo mis propias decisiones cuando quiero manejar mi aviario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I dont breed RS,Not affiliated,University,Employed,Male,No,No afiliated,No crío Cardenalito,Venezuela,No_network,13368093342,Adults,Venezuela,No_breed,5,-0.3298547703544341,-1.5427720464039334,-1.8752397267164782,0.7283161771311671,1,0,respondent_id
pre-piloto,13358989132,414689816,25/2/2022 18:06,25/2/2022 18:31,190.77.122.137,Acepto,Masculino,Adults,Universitaria,Venezuela,Valencia,Empleado (a),No crío Cardenalitos,No afiliado,No estoy afiliado,No_breed,No,No crío Cardenalito,1,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,5,1,1,5,5,5,NA,NA,NA,NA,NA,NA,3,3,"No consulto a nadie, tomo mis propias decisiones cuando quiero manejar mi aviario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I dont breed RS,Not affiliated,University,Employed,Male,No,No afiliated,No crío Cardenalito,Venezuela,No_network,13358989132,Adults,Venezuela,No_breed,5,-0.1735405503151886,1.2686611383190822,0.8382779387935201,-0.743787178817907,1,0,respondent_id
pre-piloto,13353325571,414689816,23/2/2022 17:52,23/2/2022 18:13,49.186.30.237,Acepto,Femenino,Seniors,Secundaria completa,Venezuela,Caracas,Empleado (a),1 ano,Miembro inactivo,Hace tiempo (más de 5 años),No_breed,Si,"Ninguno, estoy iniciando",0,0,1,0,0,1,0,0,0,0,1,3,5,4,5,5,5,1,4,3,3,NA,NA,NA,NA,NA,3,4,NA,4,"Si, tengo mis consultores",2 personas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Partner_breeder,NA,1,NA,Portugal,NA,Avicultural_directive,2,1,Young,España,Formation,1 year,more than 5 years,NA,Employed,Female,Yes,Inactive member,Ninguno,Venezuela,Yes_network,13353325571,Seniors,Venezuela,No_breed,4,0.2444844604228972,0.15860993070201168,0.24982347190609822,0.7283161771311671,1,0,respondent_id
piloto,13453752353,415515384,24/4/2022 7:22,24/4/2022 7:27,186.167.249.198,Aceito,Masculino,Seniors,Universidade,Brasil,Manaos,Empregado (a),5 – 10 anos,Membro ativo;,"Há muito tempo (mais de 10 anos), não sou afiliado",Expert,Sim,>5 Filhotes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,5,4,4,4,2,2,3,4,2,4,3,5,5,5,5,5,5,"Sim, eu consulto",2 pessoas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Avicultural_directive,3,3,Seniors,Brasil,Expert,Partner_breeder,3,2,Seniors,Brasil,Expert,NA,Not affiliated,University,Employed,Male,Yes,Active member,Más de 5 pichones,Brazil,Yes_network,13453752353,Seniors,Brazil,Expert,5,0.9627112601664642,-1.335197086834383,-0.5944072890313241,2.2004195330802414,1,1,respondent_id
piloto,13446694064,415515384,15/4/2022 22:32,15/4/2022 22:48,186.250.23.248,Aceito,Masculino,YoungAdults,Secundário completo,Brasil,Praia de Cotovelo,Empregado (a),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,5,1,2,3,3,3,3,3,3,3,4,5,4,3,3,3,"Sim, eu consulto",3 pessoas,NA,NA,NA,NA,NA,NA,Partner_breeder,1,2,Adults,Brasil,Formation,Partner_breeder,1,2,Adults,Brasil,Formation,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed,Male,NA,NA,NA,Brazil,Yes_network,13446694064,YoungAdults,Brazil,NA,4,-0.3298547703544341,-2.509729411480793,-0.3386309949813237,-0.743787178817907,1,NA,respondent_id
piloto,13454371947,414689816,25/4/2022 7:01,25/4/2022 7:08,186.167.249.72,Acepto,Masculino,Adults,Universitaria,Venezuela,Anaco,Empleado (a),No crío Cardenalitos,Miembro inactivo,Hace tiempo (más de 5 años),No_breed,No,No crío Cardenalito,1,NA,NA,1,1,NA,NA,NA,1,NA,1,1,5,5,5,1,5,5,5,4,4,3,3,4,NA,NA,NA,4,NA,NA,"Si, tengo mis consultores",1 persona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Partner_breeder,3,2,Adults,Venezuela,Expert,I dont breed RS,more than 5 years,University,Employed,Male,No,Inactive member,No crío Cardenalito,Venezuela,Yes_network,13454371947,Adults,Venezuela,No_breed,5,0.38382613066892585,-1.0371998875065003,-0.3386309949813237,0.12574762532314096,1,0,respondent_id
piloto,13453837436,414689816,24/4/2022 11:02,24/4/2022 11:08,186.167.248.10,Acepto,Masculino,YoungAdults,Técnica,Venezuela,Maturin,Empleado (a),No crío Cardenalitos,Miembro inactivo,Hace tiempo (más de 5 años),No_breed,No,No crío Cardenalito,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,5,5,5,5,5,4,5,5,4,4,NA,5,NA,NA,NA,4,NA,4,"No consulto a nadie, tomo mis propias decisiones cuando quiero manejar mi aviario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I dont breed RS,more than 5 years,University,Employed,Male,No,Inactive member,No crío Cardenalito,Venezuela,No_network,13453837436,YoungAdults,Venezuela,No_breed,5,0.38382613066892585,0.8499094051226839,0.24982347190609822,0.7283161771311671,1,0,respondent_id
