etapa,respondent_id,collector_id,date_created,date_modified,ip_address,consentimiento,genero,edad,instruccion,pais,ciudad,trabajo,t_cria,afiliacion,t_afiliacion,experiencia,cria_cardenal,cosecha,conocimiento_1,conocimiento_2,conocimiento_3,conocimiento_4,conocimiento_5,conocimiento_6,conocimiento_7,conocimiento_8,conocimiento_9,conocimiento_10,intencion_tenencia1,intencion_tenencia2,intencion_participacion1,intencion_participacion2,act_reconocimiento,act_colaboracion1,act_colaboracion2,act_impostor1,act_impostor2,norm_reconocimiento1,norm_reconocimiento2,norm_colaboracion1,norm_colaboracion2,norm_impostor1,norm_impostor2,moral1,moral2,control_reconocimiento,control_colaboracion,control_impostor,red_comunicacion1,red_comunicacion2,Persona 4_relacion,Persona 4_tiempo,Persona 4_frecuencia,Persona 4_edad,Persona 4_pais,Persona 4_experiencia,Persona 3_relacion,Persona 3_tiempo,Persona 3_frecuencia,Persona 3_edad,Persona 3_pais,Persona 3_experiencia,Persona 2_relacion,Persona 2_tiempo,Persona 2_frecuencia,Persona 2_edad,Persona 2_pais,Persona 2_experiencia,Persona 1_relacion,Persona 1_tiempo,Persona 1_frecuencia,Persona 1_edad,Persona 1_pais,Persona 1_experiencia
piloto,13408102342,415515384,18/3/2022 20:47,18/3/2022 20:53,177.190.209.106,Aceito,Masculino,41 - 50,Universidade,Brasil,Fortaleza,Empregado (a),2 - 3 anos,Membro ativo;,Recentemente (1 ano ou menos),Interessado,Não,Não crio Cardenalitos/Tarin.,,,,,Difundir boas práticas de reprodução,,,Promover cruzamentos consanguíneos (dentro do mesmo plantel) para obter mutações e melhores exemplares,,,Muito provável,Muito provável,Muito provável,Muito provável,Totalmente de acordo,Provável,Totalmente de acordo,Muito provável,Totalmente em desacordo,Concordo,Totalmente verdadeiro,Verdadeiro,Verdadeiro,Concordo,Verdadeiro,Concordo,Verdadeiro,Concordo,Concordo,Concordo,"Sim, eu consulto",4 pessoas,Amigo,Há pouco (1 - 2 anos),Frequentemente (1 ou mais por mês),31 - 40 anos,Brasil,Com experiência,Amigo,Há pouco (1 - 2 anos),Todos os dias,31 - 40 anos,Brasil,Experiente,Amigo,Há pouco (1 - 2 anos),Todos os dias,31 - 40 anos,Brasil,Experiente,Amigo,Há pouco (1 - 2 anos),Todos os dias,31 - 40 anos,Brasil,Experiente
piloto,13408081927,415515384,18/3/2022 20:24,18/3/2022 20:51,191.187.206.54,Aceito,Masculino,>61,Universidade,Brasil,Caxias do Sul rs,Aposentado (a),2 - 3 anos,Membro ativo;,Recentemente (mais de 1 ano),Experiente,Sim,>5 Filhotes,,,Utilize apenas cardinalitos ancestral,,,Não utilize cardinalitos selvagens no plantel de reprodutores,Utilizar cruzamentos genéticas que evitem a utilização de cardinalitos selvagens para a renovação do sangue,,Educar e instruir os novos criadores com boas práticas de reprodução para evitar a procura de cardinalitos selvagens,,Nada provável,Nada provável,Muito provável,Muito provável,Totalmente de acordo,Muito provável,Totalmente de acordo,Nada provável,Totalmente em desacordo,Totalmente de acordo,Totalmente verdadeiro,Totalmente verdadeiro,Totalmente verdadeiro,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente verdadeiro,Totalmente de acordo,Totalmente de acordo,Não tenho certeza (a),"Sim, eu consulto",2 pessoas,,,,,,,,,,,,,Colega criador,Há muito tempo (3 -10 anos),Ocasionalmente (várias vezes por ano),41 -50 anos,Brasil,Experiente,Colega criador,Há pouco (1 - 2 anos),Ocasionalmente (várias vezes por ano),51 – 60 anos,Brasil,Experiente
piloto,13408085456,415515384,18/3/2022 20:30,18/3/2022 20:40,187.39.237.172,Aceito,Masculino,>61,Universidade,Brasil,Rio gra de rs,Aposentado (a),2 - 3 anos,Membro ativo;,"Há muito tempo (mais de 10 anos), não sou afiliado",Em formação,Sim,2-5 Filhote,Não utilize cardinalitos selvagens,,Utilize apenas cardinalitos ancestral,,Difundir boas práticas de reprodução,Não utilize cardinalitos selvagens no plantel de reprodutores,Utilizar cruzamentos genéticas que evitem a utilização de cardinalitos selvagens para a renovação do sangue,,Educar e instruir os novos criadores com boas práticas de reprodução para evitar a procura de cardinalitos selvagens,,Nada provável,Nada provável,Muito provável,Muito provável,Totalmente de acordo,Muito provável,Totalmente de acordo,Nada provável,Totalmente em desacordo,Totalmente de acordo,Totalmente verdadeiro,Totalmente verdadeiro,Totalmente verdadeiro,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente verdadeiro,Totalmente de acordo,Totalmente de acordo,Não tenho certeza (a),"Sim, eu consulto",1 pessoa,,,,,,,,,,,,,,,,,,,Diretor de um Federação/Clube ornitológico,Há muito tempo (3 -10 anos),Quase nunca (1 vez por ano),31 - 40 anos,Brasil,Experiente
piloto,13408085398,415515384,18/3/2022 20:30,18/3/2022 20:40,191.55.80.214,Aceito,Masculino,31 – 40,Secundário completo,Brasil,Patos de Minas,Empresário,5 – 10 anos,Membro ativo;,Há muito tempo (mais de 5 anos),Em formação,Sim,>5 Filhotes,Não utilize cardinalitos selvagens,,,Utilize apenas mutações ou híbridos,Difundir boas práticas de reprodução,,,,Educar e instruir os novos criadores com boas práticas de reprodução para evitar a procura de cardinalitos selvagens,,Nada provável,Nada provável,Nada provável,Nada provável,Concordo,Provável,Concordo,Provável,Não tenho certeza (a),Concordo,Verdadeiro,Verdadeiro,Verdadeiro,Concordo,Não tenho certeza (a),Concordo,Verdadeiro,Concordo,Concordo,Concordo,"Sim, eu consulto",4 pessoas,Amigo,Recentemente (< 1 ano),Frequentemente (1 ou mais por mês),31 - 40 anos,Brasil,Em treinamento,Amigo,Há muito tempo (3 -10 anos),Frequentemente (1 ou mais por mês),31 - 40 anos,Brasil,Em formação,Amigo,Há muito tempo (3 -10 anos),Frequentemente (1 ou mais por mês),21 – 30 anos,Brasil,Em formação,Amigo,Há pouco (1 - 2 anos),Frequentemente (1 ou mais por mês),51 – 60 anos,Brasil,Em formação
piloto,13408082179,415515384,18/3/2022 20:28,18/3/2022 20:39,45.160.180.69,Aceito,Masculino,41 - 50,Técnico,Brasil,Ponta Grossa,Empregado (a),5 – 10 anos,Membro ativo;,Recentemente (1 ano ou menos),Em formação,Sim,>5 Filhotes,,,,Utilize apenas mutações ou híbridos,,Não utilize cardinalitos selvagens no plantel de reprodutores,Utilizar cruzamentos genéticas que evitem a utilização de cardinalitos selvagens para a renovação do sangue,Promover cruzamentos consanguíneos (dentro do mesmo plantel) para obter mutações e melhores exemplares,Educar e instruir os novos criadores com boas práticas de reprodução para evitar a procura de cardinalitos selvagens,,Nada provável,Nada provável,Muito provável,Muito provável,Totalmente de acordo,Muito provável,Totalmente de acordo,Nada provável,Totalmente em desacordo,Totalmente de acordo,Totalmente verdadeiro,Totalmente verdadeiro,Totalmente verdadeiro,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente verdadeiro,Totalmente em desacordo,Totalmente de acordo,Concordo,"Sim, eu consulto",3 pessoas,,,,,,,Colega criador,Há pouco (1 - 2 anos),Ocasionalmente (várias vezes por ano),41 -50 anos,Brasil,Experiente,Colega criador,Há pouco (1 - 2 anos),Ocasionalmente (várias vezes por ano),41 -50 anos,Brasil,Experiente,Colega criador,Há pouco (1 - 2 anos),Ocasionalmente (várias vezes por ano),31 - 40 anos,Brasil,Experiente
piloto,13408084308,415515384,18/3/2022 20:29,18/3/2022 20:39,138.36.2.169,Aceito,Masculino,21 – 30,Secundário completo,Brasil,Fortaleza,Desempregados (a),5 – 10 anos,Membro inativo,"Há muito tempo (mais de 10 anos), não sou afiliado",Em formação,Sim,>5 Filhotes,Não utilize cardinalitos selvagens,,,,Difundir boas práticas de reprodução,Não utilize cardinalitos selvagens no plantel de reprodutores,,,Educar e instruir os novos criadores com boas práticas de reprodução para evitar a procura de cardinalitos selvagens,,Nada provável,Nada provável,Não tenho certeza (a),Não tenho certeza (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piloto,13408076113,415515384,18/3/2022 20:22,18/3/2022 20:36,177.26.247.204,Aceito,Masculino,41 - 50,Secundário completo,Brasil,São Paulo capital,Micro empresário,2 - 3 anos,Membro ativo;,"Há muito tempo (mais de 10 anos), não sou afiliado",Experiente,Sim,>5 Filhotes,,,,,Difundir boas práticas de reprodução,,,,Educar e instruir os novos criadores com boas práticas de reprodução para evitar a procura de cardinalitos selvagens,,Nada provável,Nada provável,Muito provável,Muito provável,Totalmente de acordo,Muito provável,Totalmente de acordo,Pouco provável,Totalmente em desacordo,Totalmente de acordo,Totalmente verdadeiro,Verdadeiro,Verdadeiro,Totalmente de acordo,Falso,Concordo,Verdadeiro,Concordo,Não tenho certeza (a),Em desacordo,"Não consulto ninguém, tondo as minhas próprias decisões quando quero gerir o meu aviário.",1 pessoa,,,,,,,,,,,,,,,,,,,Amigo,Há muito tempo (3 -10 anos),Todos os dias,31 - 40 anos,Brasil,Experiente
piloto,13408073641,415515384,18/3/2022 20:20,18/3/2022 20:28,187.109.233.204,Aceito,Masculino,31 – 40,Universidade,Brasil,RS,Empregado (a),Não criei Pintassilgo da Venzuela.,Membro ativo;,"Há muito tempo (mais de 10 anos), não sou afiliado",Não crio Cardenalitos,Não,Não crio Cardenalitos/Tarin.,Não utilize cardinalitos selvagens,,,,Difundir boas práticas de reprodução,Não utilize cardinalitos selvagens no plantel de reprodutores,,,Educar e instruir os novos criadores com boas práticas de reprodução para evitar a procura de cardinalitos selvagens,,Nada provável,Nada provável,Muito provável,Muito provável,Totalmente de acordo,Muito provável,Totalmente de acordo,Nada provável,Totalmente em desacordo,Totalmente de acordo,Totalmente verdadeiro,Totalmente verdadeiro,Totalmente verdadeiro,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente verdadeiro,Totalmente em desacordo,Totalmente de acordo,Totalmente em desacordo,"Sim, eu consulto",1 pessoa,,,,,,,,,,,,,,,,,,,Colega criador,Desde sempre (>10 anos),Todos os dias,31 - 40 anos,Brasil,Experiente
piloto,13408071385,415515384,18/3/2022 20:17,18/3/2022 20:26,170.0.202.166,Aceito,Masculino,31 – 40,Universidade,Brasil,Fortaleza,Empregado (a),Não criei Pintassilgo da Venzuela.,Membro ativo;,Recentemente (mais de 1 ano),Não crio Cardenalitos,Não,Não crio Cardenalitos/Tarin.,Não utilize cardinalitos selvagens,,,,,Não utilize cardinalitos selvagens no plantel de reprodutores,Utilizar cruzamentos genéticas que evitem a utilização de cardinalitos selvagens para a renovação do sangue,,Educar e instruir os novos criadores com boas práticas de reprodução para evitar a procura de cardinalitos selvagens,,Nada provável,Nada provável,Muito provável,Muito provável,Totalmente de acordo,Muito provável,Totalmente de acordo,Nada provável,Totalmente em desacordo,Totalmente de acordo,Totalmente verdadeiro,Totalmente verdadeiro,Verdadeiro,Concordo,Verdadeiro,Totalmente de acordo,Totalmente verdadeiro,Totalmente de acordo,Totalmente de acordo,Totalmente em desacordo,"Sim, eu consulto",2 pessoas,,,,,,,,,,,,,Colega criador,Há muito tempo (3 -10 anos),Frequentemente (1 ou mais por mês),41 -50 anos,Brasil,Experiente,Colega criador,Há muito tempo (3 -10 anos),Todos os dias,41 -50 anos,Brasil,Experiente
piloto,13408060568,415515384,18/3/2022 20:08,18/3/2022 20:23,179.246.208.176,Aceito,Masculino,>61,Universidade,Brasil,Itatiba sp,Empregado (a),Não criei Pintassilgo da Venzuela.,Membro ativo;,"Há muito tempo (mais de 10 anos), não sou afiliado",Não crio Cardenalitos,Não,Não crio Cardenalitos/Tarin.,,,,,Difundir boas práticas de reprodução,,,,Educar e instruir os novos criadores com boas práticas de reprodução para evitar a procura de cardinalitos selvagens,,Nada provável,Nada provável,Muito provável,Muito provável,Concordo,Provável,Concordo,Não tenho certeza (a),Não tenho certeza (a),Concordo,Verdadeiro,Não tenho certeza (a),Verdadeiro,Concordo,Verdadeiro,Concordo,Verdadeiro,Em desacordo,Concordo,Não tenho certeza (a),"Não consulto ninguém, tondo as minhas próprias decisões quando quero gerir o meu aviário.",1 pessoa,,,,,,,,,,,,,,,,,,,,,,,,
