etapa,respondent_id,collector_id,date_created,date_modified,ip_address,consentimiento,genero,edad,instruccion,pais,ciudad,trabajo,t_cria,afiliacion,t_afiliacion,experiencia,cria_cardenal,cosecha,conocimiento_1,conocimiento_2,conocimiento_3,conocimiento_4,conocimiento_5,conocimiento_6,conocimiento_7,conocimiento_8,conocimiento_9,conocimiento_10,intencion_tenencia1,intencion_tenencia2,intencion_participacion1,intencion_participacion2,act_reconocimiento,act_colaboracion1,act_colaboracion2,act_impostor1,act_impostor2,norm_reconocimiento1,norm_reconocimiento2,norm_colaboracion1,norm_colaboracion2,norm_impostor1,norm_impostor2,moral1,moral2,control_reconocimiento,control_colaboracion,control_impostor,red_comunicacion1,red_comunicacion2,Persona 4_relacion,Persona 4_tiempo,Persona 4_frecuencia,Persona 4_edad,Persona 4_pais,Persona 4_experiencia,Persona 3_relacion,Persona 3_tiempo,Persona 3_frecuencia,Persona 3_edad,Persona 3_pais,Persona 3_experiencia,Persona 2_relacion,Persona 2_tiempo,Persona 2_frecuencia,Persona 2_edad,Persona 2_pais,Persona 2_experiencia,Persona 1_relacion,Persona 1_tiempo,Persona 1_frecuencia,Persona 1_edad,Persona 1_pais,Persona 1_experiencia
pre-piloto,13392225490,414689816,11/3/2022 21:37,11/3/2022 21:52,190.120.248.12,Acepto,Masculino,51 – 60,Secundaria completa,Venezuela,Valencia,Comerciante,Más de 10 años,Miembro activo,Hace mucho (más de 10 años),Aficionado,No,Más de 5 pichones,1,0,0,0,1,1,0,0,1,0,1. Nada probable,1. Nada probable,4.Probable,1. Nada probable,1. Totalmente en desacuerdo,4. Probable,1. Totalmente en desacuerdo,2. En desacuerdo,2. En desacuerdo,4. Probable,4. De acuerdo,4. De acuerdo,2. Falso,2. En desacuerdo,2. Falso,5.Totalmente cierto,4. Cierto,4. De acuerdo,3. No estoy seguro (a),2. En desacuerdo,"Si, tengo mis consultores",2 personas,,,,,,,,,,,,,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),51-60 años,Venezuela,Expermentado,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),51 – 60,Venezuela,Experimentado
pre-piloto,13377556035,414689816,6/3/2022 17:00,6/3/2022 17:30,86.42.167.232,Acepto,Masculino,31 – 40,Universitaria,Venezuela,Dublin ,Empleado (a),Más de 10 años,Miembro inactivo,Hace mucho (más de 10 años),Experimentado,No,Más de 5 pichones,0,0,0,0,1,0,0,0,1,1,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,5. Muy probable,5. Totalmente de acuerdo,2. En desacuerdo,5. Totalmente de acuerdo,5. Muy probable,5. Totalmente de acuerdo,5. Totalmente de acuerdo,5. Totalmente cierto,1. Totalmente en desacuerdo,5. Totalmente cierto,5.Totalmente cierto,5. Totalmente cierto,5. Totalmente de acuerdo,3. No estoy seguro (a),2. En desacuerdo,"Si, tengo mis consultores",4 personas,Grupo de expertos,Desde siempre (más de 10 años),Todos los días,31 - 40 años,Venezuela,Expermentado,Grupo de expertos,Desde siempre (más de 10 años),Todos los días,31 - 40 años,Venezuela,Expermentado,Grupo de expertos,Desde siempre (más de 10 años),Todos los días,31 - 40 años,Venezuela,Expermentado,Grupo de expertos,Desde siempre (más de 10 años),Todos los días,31 – 40 años,Venezuela,Experimentado
pre-piloto,13375262956,414689816,4/3/2022 19:41,4/3/2022 20:09,186.185.27.3,Acepto,Masculino,41 - 50,Universitaria,Venezuela,Caracas ,Empleado (a),Más de 10 años,Miembro activo,Hace mucho (más de 10 años),Aficionado,Si,Más de 5 pichones,1,0,0,1,1,1,1,0,1,0,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,4. De acuerdo,3. No estoy seguro (a),4. De acuerdo,3. No estoy seguro (a),2. En desacuerdo,3. No estoy seguro (a),4. De acuerdo,3. No estoy seguro (a),3. No estoy seguro (a),4. De acuerdo,3. No estoy seguro (a),4. Cierto,4. Cierto,4. De acuerdo,4. Cierto,3. No estoy seguro (a),"Si, tengo mis consultores",2 personas,,,,,,,,,,,,,Grupo de expertos,Hace mucho (de 3 a 10 años),Ocasionalmente (varias veces al año),41 - 50 años,España,Expermentado,Grupo de expertos,Hace mucho (3 -10 años),Ocasionalmente (varias veces al año),31 – 40 años,España,Experimentado
pre-piloto,13374536387,414689816,4/3/2022 13:53,4/3/2022 13:59,189.127.166.100,Acepto,Masculino,41 - 50,Universitaria,Venezuela,Valencia,Empleado (a),Más de 10 años,No afiliado,No estoy afiliado,No crío Cardenalitos,No,No crío Cardenalito,1,0,0,0,1,1,0,0,0,1,1. Nada probable,1. Nada probable,1. Nada probable,1. Nada probable,1. Totalmente en desacuerdo,3. No estoy seguro (a),3. No estoy seguro (a),5. Totalmente de acuerdo,3. No estoy seguro (a),5. Muy probable,4. De acuerdo,3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),4. Cierto,4. Cierto,4. De acuerdo,3. No estoy seguro (a),3. No estoy seguro (a),"No consulto a nadie, tomo mis propias decisiones cuando quiero manejar mi aviario",,,,,,,,,,,,,,,,,,,,,,,,,
pre-piloto,13374496183,414689816,4/3/2022 13:36,4/3/2022 13:49,186.14.135.77,Acepto,Masculino,41 - 50,Técnica,Venezuela,Guacara Venezuela ,Empleado (a),5 – 10 anos,Miembro activo,Hace tiempo (más de 5 años),Aficionado,No,2-5 pichones,0,0,0,0,1,0,0,0,1,0,1. Nada probable,1. Nada probable,1. Nada probable,1. Nada probable,3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),1. Totalmente en desacuerdo,5. Totalmente de acuerdo,4. Probable,3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),2. En desacuerdo,"Si, tengo mis consultores",1 persona,,,,,,,,,,,,,,,,,,,Amigo,Hace mucho (3 -10 años),Ocasionalmente (varias veces al año),41 -50,No sé,Experimentado
pre-piloto,13374430632,414689816,4/3/2022 13:08,4/3/2022 13:25,190.202.162.77,Acepto,Masculino,>61,Secundaria completa,Venezuela,Guacara,Otro,Más de 10 años,No afiliado,No estoy afiliado,En formación,No responde,Más de 5 pichones,0,0,0,0,1,0,0,0,1,0,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,1. Nada probable,3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),5. Totalmente de acuerdo,3. No estoy seguro (a),4. Cierto,3. No estoy seguro (a),4. Cierto,5.Totalmente cierto,5. Totalmente cierto,5. Totalmente de acuerdo,3. No estoy seguro (a),1. Totalmente en desacuerdo,"Si, tengo mis consultores",3 personas,,,,,,,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),51-60 años,Venezuela,Expermentado,Colega avicultor,Desde siempre (más de 10 años),Frecuentemente (1 o más al mes),Más de 60 años,Portugal,Expermentado,Colega avicultor,Desde siempre (más de 10 años),Frecuentemente (1 o más al mes),51 – 60,Venezuela,Experimentado
pre-piloto,13374195911,414689816,4/3/2022 11:34,4/3/2022 11:40,77.241.53.81,Acepto,Masculino,41 - 50,Universitaria,España,sevilla,Empleado (a),Más de 10 años,Miembro activo,Hace mucho (más de 10 años),Experimentado,No,No crío Cardenalito,1,0,0,0,0,1,0,0,0,0,1. Nada probable,1. Nada probable,1. Nada probable,5. Muy probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-piloto,13374124515,414689816,4/3/2022 11:06,4/3/2022 11:27,77.241.53.81,Acepto,Masculino,41 - 50,Universitaria,España,sevilla,Empleado (a),Más de 10 años,Miembro activo,Hace mucho (más de 10 años),Experimentado,No,No crío Cardenalito,1,0,0,0,0,1,0,0,0,0,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,1. Nada probable,5. Totalmente de acuerdo,1. Totalmente en desacuerdo,1. Totalmente en desacuerdo,1. Nada probable,5. Totalmente de acuerdo,5. Totalmente de acuerdo,5. Totalmente cierto,5.  Totalmente de acuerdo,5. Totalmente cierto,5.Totalmente cierto,5. Totalmente cierto,5. Totalmente de acuerdo,5. Totalmente cierto,1. Totalmente en desacuerdo,"Si, tengo mis consultores",4 personas,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),41 - 50 años,España,Expermentado,Colega avicultor,Hace mucho (de 3 a 10 años),Ocasionalmente (varias veces al año),41 - 50 años,España,Expermentado,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),41 - 50 años,España,Expermentado,Colega avicultor,Hace mucho (3 -10 años),Ocasionalmente (varias veces al año),41 -50,España,Experimentado
pre-piloto,13374146881,414689816,4/3/2022 11:13,4/3/2022 11:24,31.4.140.73,Acepto,Masculino,41 - 50,Secundaria completa,España,Malaga,Empleado (a),5 – 10 anos,Miembro activo,Hace tiempo (más de 5 años),Aficionado,Si,2-5 pichones,1,0,1,0,0,1,0,0,1,0,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,5. Muy probable,5. Totalmente de acuerdo,1. Totalmente en desacuerdo,1. Totalmente en desacuerdo,5. Muy probable,5. Totalmente de acuerdo,5. Totalmente de acuerdo,5. Totalmente cierto,5.  Totalmente de acuerdo,5. Totalmente cierto,5.Totalmente cierto,5. Totalmente cierto,5. Totalmente de acuerdo,5. Totalmente cierto,5. Totalmente de acuerdo,"Si, tengo mis consultores",3 personas,,,,,,,Amigo,Hace mucho (de 3 a 10 años),Ocasionalmente (varias veces al año),51-60 años,España,Expermentado,Amigo,Hace mucho (de 3 a 10 años),Ocasionalmente (varias veces al año),Más de 60 años,España,Expermentado,Colega avicultor,Hace mucho (3 -10 años),Ocasionalmente (varias veces al año),más de 61 años,España,Experimentado
pre-piloto,13374099143,414689816,4/3/2022 10:55,4/3/2022 11:05,77.241.53.81,Acepto,Masculino,41 - 50,Universitaria,España,sevilla,Empleado (a),5 – 10 anos,Miembro activo,Hace mucho (más de 10 años),Experimentado,No,No crío Cardenalito,1,0,0,0,1,1,0,0,1,0,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,1. Nada probable,5. Totalmente de acuerdo,1. Totalmente en desacuerdo,1. Totalmente en desacuerdo,5. Muy probable,5. Totalmente de acuerdo,5. Totalmente de acuerdo,5. Totalmente cierto,5.  Totalmente de acuerdo,5. Totalmente cierto,5.Totalmente cierto,1. Totalmente falso,5. Totalmente de acuerdo,5. Totalmente cierto,1. Totalmente en desacuerdo,"Si, tengo mis consultores",4 personas,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),41 - 50 años,España,Expermentado,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),41 - 50 años,España,Expermentado,,,,,,,,,,,,
pre-piloto,13374081209,414689816,4/3/2022 10:48,4/3/2022 10:58,2.155.144.30,Acepto,Masculino,31 – 40,Primaria completa,España,Vigo ,Empleado (a),5 – 10 anos,Miembro activo,Hace tiempo (más de 5 años),Experimentado,No,Más de 5 pichones,1,0,1,0,0,1,0,0,1,0,1. Nada probable,1. Nada probable,4.Probable,4. Probable,1. Totalmente en desacuerdo,5. Muy probable,5. Totalmente de acuerdo,4. De acuerdo,2. En desacuerdo,5. Muy probable,1. Totalmente en desacuerdo,5. Totalmente de acuerdo,5. Totalmente cierto,5.  Totalmente de acuerdo,5. Totalmente cierto,1. Totalmente falso,5. Totalmente cierto,5. Totalmente de acuerdo,5. Totalmente cierto,1. Totalmente en desacuerdo,"No consulto a nadie, tomo mis propias decisiones cuando quiero manejar mi aviario",,,,,,,,,,,,,,,,,,,,,,,,,
pre-piloto,13369704516,414689816,2/3/2022 18:51,2/3/2022 19:01,190.120.250.222,Acepto,Masculino,51 – 60,Universitaria,Venezuela,Carabobo,Otro,Más de 10 años,Miembro activo,Hace mucho (más de 10 años),Experimentado,No,2-5 pichones,0,1,0,0,0,0,1,0,1,0,4. Probable,4. Probable,5. Muy probable,5. Muy probable,4. De acuerdo,1. Nada probable,4. De acuerdo,2. En desacuerdo,2. En desacuerdo,2. Poco probable,4. De acuerdo,4. De acuerdo,5. Totalmente cierto,5.  Totalmente de acuerdo,4. Cierto,4. Cierto,5. Totalmente cierto,4. De acuerdo,2. Falso,2. En desacuerdo,"Si, tengo mis consultores",1 persona,,,,,,,,,,,,,,,,,,,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),51 – 60,Venezuela,Experimentado
pre-piloto,13369089117,414689816,2/3/2022 14:33,2/3/2022 14:44,190.120.248.12,Acepto,Masculino,>61,Universitaria,Venezuela,Valencia,Jubilado (a),No crío Cardenalitos,Miembro inactivo,Hace mucho (más de 10 años),Experimentado,No,No crío Cardenalito,1,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-piloto,13368093342,414689816,2/3/2022 7:57,2/3/2022 8:06,186.167.251.54,Acepto,Masculino,31 – 40,Universitaria,Venezuela,Nirgua,Empleado (a),No crío Cardenalitos,No afiliado,No estoy afiliado,No crío Cardenalitos,No,No crío Cardenalito,0,0,0,0,1,0,0,0,1,1,1. Nada probable,2. Poco probable,4.Probable,5. Muy probable,1. Totalmente en desacuerdo,3. No estoy seguro (a),4. De acuerdo,3. No estoy seguro (a),3. No estoy seguro (a),2. Poco probable,2. En desacuerdo,3. No estoy seguro (a),4. Cierto,3. No estoy seguro (a),4. Cierto,4. Cierto,5. Totalmente cierto,3. No estoy seguro (a),1. Totalmente falso,4. De acuerdo,"No consulto a nadie, tomo mis propias decisiones cuando quiero manejar mi aviario",,,,,,,,,,,,,,,,,,,,,,,,,
pre-piloto,13358989132,414689816,25/2/2022 18:06,25/2/2022 18:31,190.77.122.137,Acepto,Masculino,31 – 40,Universitaria,Venezuela,Valencia,Empleado (a),No crío Cardenalitos,No afiliado,No estoy afiliado,No crío Cardenalitos,No,No crío Cardenalito,1,0,0,0,0,0,0,0,0,1,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,5. Muy probable,5. Totalmente de acuerdo,1. Totalmente en desacuerdo,1. Totalmente en desacuerdo,5. Muy probable,5. Totalmente de acuerdo,5. Totalmente de acuerdo,5. Totalmente cierto,5.  Totalmente de acuerdo,5. Totalmente cierto,5.Totalmente cierto,5. Totalmente cierto,2. En desacuerdo,3. No estoy seguro (a),3. No estoy seguro (a),"No consulto a nadie, tomo mis propias decisiones cuando quiero manejar mi aviario",,,,,,,,,,,,,,,,,,,,,,,,,
pre-piloto,13353325571,414689816,23/2/2022 17:52,23/2/2022 18:13,49.186.30.237,Acepto,Femenino,51 – 60,Secundaria completa,Venezuela,Caracas,Empleado (a),1 ano,Miembro inactivo,Hace tiempo (más de 5 años),No crío Cardenalitos,Si,"Ninguno, estoy iniciando",0,0,1,0,0,1,0,0,0,0,1. Nada probable,3. No estoy seguro (a),5. Muy probable,4. Probable,5. Totalmente de acuerdo,5. Muy probable,5. Totalmente de acuerdo,1. Totalmente en desacuerdo,4. De acuerdo,3. No estoy seguro (a),3. No estoy seguro (a),2. En desacuerdo,5. Totalmente cierto,2. En desacuerdo,2. Falso,5.Totalmente cierto,3. No estoy seguro (a),4. De acuerdo,2. Falso,4. De acuerdo,"Si, tengo mis consultores",2 personas,,,,,,,,,,,,,Amigo,Recientemente (menos de 1 año),Casi nunca (1 vez al año),Más de 60 años,Portugal,Expermentado,Directivo en una sociedad de cría,Hace poco (1 - 2 años),Casi nunca (1 vez al año),18 – 20 años,España,En formación
piloto,13453752353,415515384,24/4/2022 7:22,24/4/2022 7:27,186.167.249.198,Aceito,Masculino,51 – 60,Universidade,Brasil,Manaos,Empregado (a),5 – 10 anos,Membro ativo;,"Há muito tempo (mais de 10 anos), não sou afiliado",Experiente,Sim,>5 Filhotes,Não utilize cardinalitos selvagens,,,,Difundir boas práticas de reprodução,Não utilize cardinalitos selvagens no plantel de reprodutores,,Promover cruzamentos consanguíneos (dentro do mesmo plantel) para obter mutações e melhores exemplares,Educar e instruir os novos criadores com boas práticas de reprodução para evitar a procura de cardinalitos selvagens,,Pouco provável,Pouco provável,Muito provável,Muito provável,Concordo,Provável,Concordo,Pouco provável,Em desacordo,Não tenho certeza (a),Verdadeiro,Falso,Verdadeiro,Não tenho certeza (a),Totalmente de acordo,Totalmente de acordo,Totalmente verdadeiro,Totalmente de acordo,Totalmente de acordo,Totalmente em desacordo,"Sim, eu consulto",2 pessoas,,,,,,,,,,,,,Diretor de um Federação/Clube ornitológico,Há muito tempo (3 -10 anos),Frequentemente (1 ou mais por mês),51 – 60 anos,Brasil,Experiente,Colega criador,Há muito tempo (3 -10 anos),Ocasionalmente (várias vezes por ano),51 – 60 anos,Brasil,Experiente
piloto,13446694064,415515384,15/4/2022 22:32,15/4/2022 22:48,186.250.23.248,Aceito,Masculino,21 – 30,Secundário completo,Brasil,Praia de Cotovelo,Empregado (a),,,,,,,,,,,,,,,,,Muito provável,Muito provável,Provável,Provável,Totalmente em desacordo,Nada provável,Em desacordo,Não tenho certeza (a),Não tenho certeza (a),Não tenho certeza (a),Não tenho certeza (a),Não tenho certeza (a),Não tenho certeza (a),Não tenho certeza (a),Verdadeiro,Totalmente de acordo,Verdadeiro,Não tenho certeza (a),Não tenho certeza (a),Não tenho certeza (a),"Sim, eu consulto",3 pessoas,,,,,,,Colega criador,Recentemente (< 1 ano),Ocasionalmente (várias vezes por ano),31 - 40 anos,Brasil,Em formação,Colega criador,Recentemente (< 1 ano),Ocasionalmente (várias vezes por ano),31 - 40 anos,Brasil,Em formação,,,,,,
piloto,13454371947,414689816,25/4/2022 7:01,25/4/2022 7:08,186.167.249.72,Acepto,Masculino,41 - 50,Universitaria,Venezuela,Anaco,Empleado (a),No crío Cardenalitos,Miembro inactivo,Hace tiempo (más de 5 años),No crío Cardenalitos,No,No crío Cardenalito,No usar Cardenalitos silvestres,,,Usar solo mutaciones o híbridos,Ser difusor de buenas prácticas de cría,,,,Educar e instruir a criadores noveles con buenas prácticas de cría para evitar la demanda de Cardenalitos silvestres,,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,1. Nada probable,5. Totalmente de acuerdo,5. Totalmente de acuerdo,5. Totalmente de acuerdo,4. Probable,4. De acuerdo,3. No estoy seguro (a),3. No estoy seguro (a),4. De acuerdo,5. Totalmente cierto,4. Cierto,5. Totalmente cierto,4. De acuerdo,2. Falso,2. En desacuerdo,"Si, tengo mis consultores",1 persona,,,,,,,,,,,,,,,,,,,Colega avicultor,Hace mucho (3 -10 años),Ocasionalmente (varias veces al año),41 -50,Venezuela,Experimentado
piloto,13453837436,414689816,24/4/2022 11:02,24/4/2022 11:08,186.167.248.10,Acepto,Masculino,21 – 30,Técnica,Venezuela,Maturin,Empleado (a),No crío Cardenalitos,Miembro inactivo,Hace tiempo (más de 5 años),No crío Cardenalitos,No,No crío Cardenalito,No usar Cardenalitos silvestres,,,,,No usar Cardenalitos silvestres en el plantel de cría,,,,,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,5. Muy probable,5. Totalmente de acuerdo,4. De acuerdo,5. Totalmente de acuerdo,5. Muy probable,4. De acuerdo,4. De acuerdo,4. Cierto,5. Totalmente de acuerdo,5. Totalmente cierto,5.Totalmente cierto,4. Cierto,4. De acuerdo,4. Cierto,4. De acuerdo,"No consulto a nadie, tomo mis propias decisiones cuando quiero manejar mi aviario",,,,,,,,,,,,,,,,,,,,,,,,,
piloto,13453835148,414689816,24/4/2022 10:58,24/4/2022 11:01,186.167.242.69,Acepto,Masculino,31 – 40,Técnica,Venezuela,Yaritagua,Trabajo casual,No crío Cardenalitos,Miembro inactivo,Recientemente (más de 1 año),No crío Cardenalitos,No,No crío Cardenalito,No usar Cardenalitos silvestres,,,,Ser difusor de buenas prácticas de cría,No usar Cardenalitos silvestres en el plantel de cría,,,Educar e instruir a criadores noveles con buenas prácticas de cría para evitar la demanda de Cardenalitos silvestres,,2. Poco probable,1. Nada probable,4.Probable,4. Probable,4. De acuerdo,5. Muy probable,4. De acuerdo,3. No estoy seguro (a),2. En desacuerdo,2. Poco probable,4. De acuerdo,4. De acuerdo,5. Totalmente cierto,5. Totalmente de acuerdo,5. Totalmente cierto,5.Totalmente cierto,5. Totalmente cierto,5. Totalmente de acuerdo,3. No estoy seguro (a),1. Totalmente en desacuerdo,"No consulto a nadie, tomo mis propias decisiones cuando quiero manejar mi aviario",,,,,,,,,,,,,,,,,,,,,,,,,
piloto,13453787300,414689816,24/4/2022 9:01,24/4/2022 9:05,186.167.242.69,Acepto,Masculino,21 – 30,Secundaria completa,Venezuela,Caracas,Trabajo casual,No crío Cardenalitos,Miembro inactivo,Hace poco (1 año o menos),No crío Cardenalitos,No,No crío Cardenalito,No usar Cardenalitos silvestres,Usar Cardenalito silvestres sólo si es necesario,,Usar solo mutaciones o híbridos,Ser difusor de buenas prácticas de cría,No usar Cardenalitos silvestres en el plantel de cría,,,Educar e instruir a criadores noveles con buenas prácticas de cría para evitar la demanda de Cardenalitos silvestres,,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,5. Muy probable,5. Totalmente de acuerdo,4. De acuerdo,4. De acuerdo,4. Probable,5. Totalmente de acuerdo,4. De acuerdo,5. Totalmente cierto,5. Totalmente de acuerdo,5. Totalmente cierto,5.Totalmente cierto,5. Totalmente cierto,2. En desacuerdo,5. Totalmente cierto,4. De acuerdo,"Si, tengo mis consultores",1 persona,,,,,,,,,,,,,,,,,,,Directivo en una sociedad de cría,Hace mucho (3 -10 años),Frecuentemente (1 o más al mes),41 -50,Venezuela,Experimentado
piloto,13453754264,414689816,24/4/2022 7:28,24/4/2022 7:31,186.167.242.217,Acepto,Masculino,>61,Universitaria,Venezuela,Caracas,Jubilado (a),No crío Cardenalitos,Miembro activo,Hace mucho (más de 10 años),No crío Cardenalitos,No,No crío Cardenalito,No usar Cardenalitos silvestres,,,,Ser difusor de buenas prácticas de cría,No usar Cardenalitos silvestres en el plantel de cría,,Promover cruces genéticos dentro del plantel de cría para la obtención de mutaciones,Educar e instruir a criadores noveles con buenas prácticas de cría para evitar la demanda de Cardenalitos silvestres,,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,4. Probable,5. Totalmente de acuerdo,2. En desacuerdo,5. Totalmente de acuerdo,4. Probable,5. Totalmente de acuerdo,2. En desacuerdo,4. Cierto,5. Totalmente de acuerdo,5. Totalmente cierto,5.Totalmente cierto,5. Totalmente cierto,5. Totalmente de acuerdo,2. Falso,1. Totalmente en desacuerdo,"No consulto a nadie, tomo mis propias decisiones cuando quiero manejar mi aviario",,,,,,,,,,,,,,,,,,,,,,,,,
piloto,13449855262,414689816,19/4/2022 22:21,19/4/2022 22:22,200.93.47.187,Acepto,Femenino,31 – 40,Universitaria,Venezuela,Caracas,Empleado (a),,,,,,,,,,,,,,,,,1. Nada probable,1. Nada probable,1. Nada probable,1. Nada probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piloto,13448573768,414689816,18/4/2022 19:54,18/4/2022 19:59,181.41.152.168,Acepto,Femenino,21 – 30,Universitaria,Venezuela,maracaibo,Desempleado (a),No crío Cardenalitos,No afiliado,No estoy afiliado,No crío Cardenalitos,No,No crío Cardenalito,,,,,Ser difusor de buenas prácticas de cría,,,,Educar e instruir a criadores noveles con buenas prácticas de cría para evitar la demanda de Cardenalitos silvestres,,1. Nada probable,1. Nada probable,1. Nada probable,1. Nada probable,5. Totalmente de acuerdo,3. No estoy seguro (a),5. Totalmente de acuerdo,3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),4. De acuerdo,3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),5. Totalmente de acuerdo,3. No estoy seguro (a),3. No estoy seguro (a),No me interesa la cría de Cardenalito.,,,,,,,,,,,,,,,,,,,,,,,,,
piloto,13448261007,414689816,18/4/2022 14:00,18/4/2022 14:09,201.242.242.121,Acepto,Femenino,41 - 50,Universitaria,Venezuela,Maturin,Desempleado (a),,,,,,,,,,,,,,,,,1. Nada probable,1. Nada probable,1. Nada probable,1. Nada probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piloto,13448161151,414689816,18/4/2022 12:35,18/4/2022 12:41,177.26.233.55,Acepto,Masculino,41 - 50,Secundaria completa,Brasil,Casa,Trabajo casual,,,,,,,,,,,,,,,,,3. No estoy seguro (a),1. Nada probable,4.Probable,1. Nada probable,4. De acuerdo,5. Muy probable,1. Totalmente en desacuerdo,2. En desacuerdo,5. Totalmente de acuerdo,1. Nada probable,2. En desacuerdo,4. De acuerdo,2. Falso,4. De acuerdo,1. Totalmente falso,3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),1. Totalmente en desacuerdo,"Si, tengo mis consultores",2 personas,,,,,,,,,,,,,Amigo,Hace poco (de 1 a 2 años),Ocasionalmente (varias veces al año),41 - 50 años,Brasil,Aficionado,,,,,,
piloto,13440185245,414689816,10/4/2022 8:08,10/4/2022 8:13,186.167.249.21,Acepto,Masculino,31 – 40,Técnica,Venezuela,Caracas,Empleado (a),No crío Cardenalitos,Miembro inactivo,Hace mucho (más de 10 años),No crío Cardenalitos,No,No crío Cardenalito,No usar Cardenalitos silvestres,,,,Ser difusor de buenas prácticas de cría,No usar Cardenalitos silvestres en el plantel de cría,,,Educar e instruir a criadores noveles con buenas prácticas de cría para evitar la demanda de Cardenalitos silvestres,,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,5. Muy probable,4. De acuerdo,5. Totalmente de acuerdo,5. Totalmente de acuerdo,3. No estoy seguro (a),5. Totalmente de acuerdo,2. En desacuerdo,4. Cierto,4. De acuerdo,4. Cierto,5.Totalmente cierto,5. Totalmente cierto,5. Totalmente de acuerdo,4. Cierto,1. Totalmente en desacuerdo,"Si, tengo mis consultores",2 personas,,,,,,,,,,,,,Colega avicultor,Hace mucho (de 3 a 10 años),Frecuentemente (1 o más al mes),31 - 40 años,Venezuela,Expermentado,Directivo en una sociedad de cría,Hace mucho (3 -10 años),Frecuentemente (1 o más al mes),41 -50,Venezuela,Experimentado
piloto,13438492916,414689816,8/4/2022 7:02,8/4/2022 7:07,186.167.243.168,Acepto,Masculino,51 – 60,Universitaria,Venezuela,Marín,Empleado (a),No crío Cardenalitos,No afiliado,No estoy afiliado,No crío Cardenalitos,No,No crío Cardenalito,No usar Cardenalitos silvestres,,,,Ser difusor de buenas prácticas de cría,No usar Cardenalitos silvestres en el plantel de cría,,,Educar e instruir a criadores noveles con buenas prácticas de cría para evitar la demanda de Cardenalitos silvestres,,1. Nada probable,1. Nada probable,4.Probable,5. Muy probable,4. De acuerdo,4. Probable,5. Totalmente de acuerdo,5. Totalmente de acuerdo,5. Totalmente de acuerdo,4. Probable,4. De acuerdo,3. No estoy seguro (a),4. Cierto,4. De acuerdo,5. Totalmente cierto,5.Totalmente cierto,5. Totalmente cierto,5. Totalmente de acuerdo,3. No estoy seguro (a),2. En desacuerdo,"No consulto a nadie, tomo mis propias decisiones cuando quiero manejar mi aviario",,,,,,,,,,,,,,,,,,,,,,,,,
